epoch,train_loss,val_loss,train_acc,val_acc
1,2.664843622496949,2.1464736852268715,12.72,25.07
2,1.9812945955780612,1.6430130004882812,29.94,42.8
3,1.6166733896375027,1.3516520052979895,42.2,50.85
4,1.3992870522021814,1.1810290665276306,49.86,57.77
5,1.2347947264526096,1.1028781610693634,56.21,61.02
6,1.1337659430077969,1.0216786874889654,60.2,64.12
7,1.0382864844643849,0.9631098838849256,63.56,65.25
8,0.9669342935716893,0.9224770756091102,66.14,67.51
9,0.9146917712280616,0.9332522322229073,68.22,66.67
10,0.8643277193285139,0.8343363724185922,70.0,69.7
11,0.8278639631635162,0.8592166307955812,71.45,70.27
12,0.7831968430890988,0.8671251501740709,72.88,69.56
13,0.758614534000682,0.8552368697473558,74.11,71.61
14,0.7333797087028393,0.8518998959643692,74.88,70.27
15,0.7135976989125613,0.7952256687616898,75.61,73.59
16,0.6766498647167796,0.8523879078148449,76.68,71.47
17,0.6589391618073799,0.8038291203773628,77.36,73.52
18,0.6391451762114515,0.8939564349287648,78.24,70.06
19,0.6166414994562607,0.7840999290768036,78.88,74.44
20,0.6072442381265775,0.7443503255897996,79.46,73.23
21,0.5785527447119576,0.8164374195249741,80.59,72.6
22,0.5712853265718153,0.75953969578285,80.56,73.73
23,0.5549047426711131,0.7922458702561546,81.09,73.87
24,0.542619037187861,0.8075118468979657,81.76,74.58
25,0.5256634560672219,0.7852706989999545,81.97,74.51
26,0.5188855638729237,0.8036857634614416,82.59,73.59
27,0.5078341465103889,0.7921496905849479,83.27,75.28
28,0.49016544768711384,0.8322525186053777,83.66,74.36
