epoch,train_loss,val_loss,train_acc,val_acc
1,2.6777725173571727,2.099606278838304,12.95,24.66
2,2.043412581834372,1.5880779285279532,27.74,41.27
3,1.6306358990493286,1.248066511482158,40.84,54.81
4,1.3929331009848076,1.0436105561634852,50.01,63.17
5,1.2222248906448836,0.8852066606440873,56.43,69.42
6,1.1140047988960833,0.818117267681808,60.69,69.84
7,1.0411159501822875,0.7554469843390127,63.34,75.24
8,0.9664033708324306,0.7133909533263514,66.04,75.03
9,0.9140433206460149,0.7279371481723886,68.06,73.65
10,0.8692404825760968,0.6161116759613078,69.77,78.73
11,0.8208482558267158,0.6440763589566347,71.74,76.3
12,0.7854053382071595,0.6518538775267424,72.78,77.99
13,0.761196201019264,0.5771412952236398,73.67,79.05
14,0.7259927925310636,0.6118881897320823,75.1,78.41
15,0.7143663010738578,0.5804017079885675,75.34,78.52
16,0.6800858926859612,0.5919323031233732,76.46,77.78
17,0.6592403766392075,0.6137543700044117,77.57,78.1
18,0.6366136094258903,0.5716261320643955,78.21,80.74
19,0.6133496770697223,0.6355923542900691,78.66,76.93
20,0.6044995096042816,0.5675549440598362,79.28,79.15
21,0.5846434151556589,0.5723445434103567,79.98,80.0
22,0.5679061541179419,0.5813406483206168,80.63,80.42
23,0.5505005540230458,0.635210130706666,81.3,77.99
24,0.5446364266614228,0.5925150197019022,81.25,80.42
25,0.5298288597601944,0.5375887111538933,81.87,81.38
26,0.5175347048372336,0.5492657367199186,82.28,81.59
27,0.4998790673321114,0.5773461511841527,83.0,81.38
28,0.4893431113260988,0.5825904106652295,83.42,80.63
29,0.47764707513094956,0.5874768288362594,83.74,80.74
30,0.4643646354972415,0.5735258701617125,84.2,81.8
31,0.4709762603819767,0.6152073981900694,84.19,80.74
32,0.44855302381140494,0.6173329981231185,84.89,80.32
33,0.44506653719646455,0.5945711535751504,84.91,80.85
34,0.39668940578311845,0.5849568606684448,86.55,81.27
35,0.3842216050415708,0.5828592749815139,86.96,82.01
36,0.3702620440588095,0.5573213944359431,87.44,82.86
37,0.3646110385674386,0.5919552318002812,87.71,82.75
38,0.36429565266919584,0.6242155261140652,87.84,81.38
39,0.3508584897624891,0.6623196465628488,88.13,80.32
40,0.3526479989849144,0.610307189901039,88.04,82.54
