epoch,train_loss,val_loss,train_acc,val_acc
1,2.6147948511145693,1.973170859621501,13.89,30.12
2,1.790870134910328,1.5579613914676742,35.0,44.06
3,1.501275920703762,1.2815971961468133,45.83,54.96
4,1.3148123235960716,1.1471073604097553,52.79,61.38
5,1.1919678850983053,1.0538157383081441,57.3,63.89
6,1.1029152456166267,0.9928688255010867,60.96,65.74
7,1.0427717111090933,0.9649597876471891,63.45,66.56
8,0.9873543084467677,0.9493807043904573,65.1,66.56
9,0.9242000216043236,0.9690607744624152,67.63,66.29
10,0.8940748107281682,0.8804418693960102,68.99,68.25
11,0.8525460261296386,0.9438786771562364,70.35,68.14
12,0.8168001316130432,0.8604339319636359,71.5,69.93
13,0.790756055863294,0.8063049778699355,72.65,72.17
14,0.760186906177531,0.8086194789487552,73.71,72.11
15,0.7350864813909019,0.8342680898626905,74.5,71.79
16,0.7168874708395019,0.8032689577613781,75.46,72.71
17,0.6887350378646944,0.8235878687278897,76.25,72.11
18,0.6834534596139233,0.9064842254767491,76.56,70.86
19,0.6587776699225034,0.8496163625083458,77.47,71.46
20,0.6478349692012677,0.8570074024802978,77.9,72.0
21,0.6218497359407645,0.8153269788278733,78.8,72.77
22,0.6182267341094585,0.8366456723940399,78.94,71.95
23,0.5990714403542104,0.8352435157189961,79.71,73.15
24,0.5956966763603352,0.8008613755240679,79.66,73.09
25,0.5814403385525616,0.7898500474709571,80.25,74.51
26,0.5590377589732266,0.8067652470146129,80.94,74.51
27,0.5494391903992447,0.8657706633112789,81.24,73.31
28,0.5436095717087108,0.8119234784236401,81.69,73.15
29,0.5345039501262805,0.8373730909850343,81.97,74.35
30,0.5192448478107317,0.862913997474579,82.07,73.37
31,0.5156959921420698,0.8256354604671204,82.45,74.29
32,0.5057883996858606,0.9287602472928614,82.84,72.06
33,0.4960205059636361,0.9009475939154366,82.94,72.88
