epoch,train_loss,val_loss,train_acc,val_acc
1,2.4647543262915805,1.7892235362597104,17.57,36.94
2,1.7028158900235524,1.39783266573976,37.96,47.81
3,1.4361583055075953,1.1766896220923817,47.9,58.12
4,1.2797007084470107,1.0771052689202087,54.04,61.86
5,1.169734090061511,0.9954495834091962,58.7,63.84
6,1.0829249656517916,0.9822782958294712,61.87,65.4
7,1.0195916677502685,0.9278175655731373,64.19,68.08
8,0.96088666503135,0.9131358087399585,66.4,67.73
9,0.9123928301559522,0.8775303296450168,68.15,69.35
10,0.8760360174837182,0.8312041018642274,69.27,69.63
11,0.8344590951109048,0.8527686771026439,70.83,70.62
12,0.796476578308364,0.8306019508232505,72.09,71.19
13,0.7711995822754091,0.8134527826039805,73.47,71.54
14,0.7452567339520766,0.8108989289924924,73.75,72.1
15,0.7189366422755955,0.8111500928630937,74.81,71.89
16,0.6945689015324987,0.8624906593796897,75.71,71.54
17,0.6696508558552722,0.8612299046273959,77.02,72.32
18,0.6523781842383,0.7957035727420095,77.55,73.52
19,0.6449812442136446,0.8276616247360316,77.6,73.23
20,0.6244477501937321,0.7784854409384863,78.14,73.52
21,0.6065022235343878,0.7906597751682087,78.96,74.15
22,0.6001414281404047,0.8019448000158967,79.27,74.65
23,0.5915232521569758,0.8320210720859679,79.75,74.08
24,0.5732088721115999,0.7760773701856365,79.94,74.22
25,0.5643582181693855,0.8084772293177028,80.64,73.59
26,0.5400764329886609,0.836085739782301,81.05,74.22
27,0.5357495753441827,0.8253230577134817,81.58,73.16
28,0.5361900810900958,0.822541965603155,81.39,73.38
29,0.5158234059666317,0.8706289065086236,82.28,73.02
30,0.5133470695186181,0.8040907342555159,82.41,74.01
31,0.4953369946370113,0.8405170925592972,82.76,73.16
32,0.49016173248862527,0.8602545476902677,82.96,73.16
