epoch,train_loss,val_loss,train_acc,val_acc
1,2.671016322386254,2.1769329868467513,12.39,25.0
2,1.9821614523999374,1.5818679723362465,29.77,43.86
3,1.578397459345733,1.3626939590367895,43.12,51.98
4,1.3541312394198453,1.159583269539526,51.53,59.11
5,1.2039631119360534,1.0538009384931144,57.41,63.91
6,1.1137349956727844,1.0003137534621072,60.66,64.48
7,1.0057368357904095,0.9916035926948159,64.81,66.31
8,0.9512837453932247,0.8929854570809057,66.92,69.49
9,0.8885653999910692,0.9181586012328412,69.54,68.01
10,0.8425611486912784,0.8771723623329637,71.23,69.56
11,0.7993372321092754,0.8520125642334674,72.31,71.96
12,0.7618741067185606,0.8691659781892421,73.88,71.82
13,0.731592222989562,0.835264082008836,75.39,72.67
14,0.7012168259430105,0.836433076589121,76.53,70.83
15,0.6772185354531624,0.799963191404181,77.03,73.8
16,0.6582685695826339,0.8410889092138258,77.58,73.02
17,0.6283683134612263,0.8225442622341005,78.6,73.52
18,0.6106315360912365,0.787796268355375,79.13,72.1
19,0.5885929866628217,0.783266002848997,79.93,73.38
20,0.5835209614556376,0.790699931861317,80.23,73.94
21,0.558120145541121,0.7801989835534392,80.99,74.15
22,0.5461445640622576,0.7650633073795987,81.57,75.28
23,0.5287390718523604,0.8164811322918046,82.11,74.15
24,0.521827725742645,0.79077126346739,82.63,73.94
25,0.5106560374042535,0.7499681839161674,82.71,76.48
26,0.4918567942122131,0.771735817699109,83.82,76.13
27,0.47121758304723566,0.8096062961944752,84.32,75.85
28,0.4588275597270893,0.8266015025855458,84.7,74.51
29,0.4673987196280745,0.8340334084074376,84.35,74.65
30,0.44786911359202886,0.8401495938920706,85.27,73.59
31,0.43563442780796124,0.7480381693543687,85.43,76.48
32,0.4192967109434034,0.7912390191676253,86.0,75.35
33,0.4164277902163414,0.8489136507282149,86.17,74.72
34,0.41202879058495456,0.8517149518438651,86.36,76.13
35,0.4100645532436238,0.8472517937590174,86.42,76.27
36,0.39997956741408364,0.8515538711332332,86.79,76.06
37,0.3898602524761572,0.8668115125537592,87.29,74.15
38,0.3797928144850227,0.7944421498788952,87.34,77.19
39,0.37390879657352977,0.8499684684020651,87.59,75.0
