epoch,train_loss,val_loss,train_acc,val_acc
1,2.4732878779672247,1.9358044640492584,16.75,31.57
2,1.8171177787873127,1.5639419124624823,33.78,42.51
3,1.547631328388796,1.2838214076844985,43.45,55.51
4,1.3756229265550146,1.156770156601728,50.72,58.97
5,1.261207685776542,1.1083107210148526,55.42,60.38
6,1.1735185474229495,1.0249791118384755,58.27,63.98
7,1.1059085676225566,0.9847251978297692,60.95,65.25
8,1.045909373436944,0.9557413543011509,63.26,66.74
9,0.9837093029992056,0.9040670341017556,65.1,68.5
10,0.9560611230697816,0.9140446980794271,66.31,67.3
11,0.9162861159292318,0.8494224332820224,67.41,70.27
12,0.8792985513192978,0.8752877402440303,69.14,69.49
13,0.8612568898004712,0.8454649704324324,69.51,70.69
14,0.8323813808166375,0.8355222529610672,70.55,70.34
15,0.815409295351107,0.8601924066489699,71.34,69.14
16,0.7948502852033472,0.8256691727934584,71.82,70.9
17,0.7734281976344222,0.8036515537628346,72.62,71.47
18,0.7555528879165649,0.807744521879207,73.28,72.32
19,0.7320923250321903,0.8011080774210267,73.86,72.81
20,0.7208290547493295,0.8084658956797109,74.26,71.75
21,0.7144342539674144,0.7807645959369207,74.51,71.75
22,0.6919294896628031,0.8156802425276761,75.49,71.4
23,0.6803008882964783,0.8148293980097366,76.15,72.32
24,0.6755465308055462,0.8052077535855569,75.82,72.53
25,0.6671146170279015,0.8020456173999161,76.59,72.18
26,0.6484990666189725,0.8188251344497595,76.87,71.61
27,0.6428620994956961,0.8241401365247824,77.25,71.75
28,0.6330458277218567,0.8104680729451152,77.65,71.89
29,0.613904043923856,0.8698730091590666,78.42,71.26
