epoch,train_loss,val_loss,train_acc,val_acc
1,2.291139200870985,1.728454072596663,21.69,37.92
2,1.68527216945953,1.3960357924639168,39.62,51.69
3,1.4687545420759816,1.2514025585799566,48.16,56.29
4,1.3517015271844932,1.1672247331694694,52.63,59.11
5,1.2635202191355153,1.101796683618578,55.77,61.02
6,1.200920212211101,1.0533790157339666,58.02,62.43
7,1.1460096677336797,1.0142451571879414,60.07,63.98
8,1.1036398176996818,0.9863597094002416,61.34,65.54
9,1.061205939721253,0.9796162298170187,62.83,63.84
10,1.0323696122042492,0.9856656931214414,63.64,64.9
11,1.0011424933161055,0.9448206626762778,64.69,66.24
12,0.9827852061527982,0.9601741672235694,65.3,66.03
13,0.9554074998340653,0.9310654300754353,66.46,66.81
14,0.9230149271413143,0.9463399359061893,67.39,65.82
15,0.9056037066923792,0.9090089609393965,68.12,67.8
16,0.8893469077045635,0.9123175427065058,68.75,67.66
17,0.877278926297481,0.9162417616547838,69.03,67.16
18,0.853472612671933,0.9441573929651982,69.9,67.23
19,0.847399796974861,0.8811467326967056,70.48,69.77
20,0.8165662749050316,0.910760243733724,71.35,68.93
21,0.8195902728283954,0.915054822372178,71.16,68.5
22,0.7977639355180338,0.9146334922919839,71.95,68.5
23,0.7862037577582907,0.9290963054376807,72.5,68.15
24,0.7781619019716184,0.9019179640516723,72.36,68.93
25,0.7617741240860475,0.9324811488221594,73.19,68.86
26,0.7603849445359182,0.9240156567029361,73.51,69.84
27,0.7402412707378443,0.9087388798341913,74.06,69.77
