epoch,train_loss,val_loss,train_acc,val_acc
1,2.7726369151915398,2.4352065425477822,10.64,18.69
2,2.213091532997226,1.806523343847623,24.71,34.01
3,1.7304005942082386,1.5313932924244644,35.64,44.69
4,1.4807369315177359,1.291635022501205,44.98,54.99
5,1.322347125800486,1.1880581151562102,51.89,56.78
6,1.209112927594308,1.0521658670025236,56.91,60.54
7,1.1253226378400318,0.998913956890314,60.2,64.9
8,1.0603241154791998,0.9571511584016867,62.93,64.8
9,0.9972298827305528,1.0776123832292064,65.27,61.58
10,0.9440112771740671,0.8574727202631147,67.31,67.9
11,0.9026655906218173,0.8230821650749331,68.93,70.84
12,0.8598111347730063,0.8096038198276176,70.87,70.95
13,0.832420615125006,0.8645831538156202,71.57,69.1
14,0.8104435793640429,0.7957177126764926,72.63,71.5
15,0.7723018677312888,0.826430719717322,73.67,71.93
16,0.7519327123860089,0.800638295681665,74.41,71.39
17,0.722881726275868,0.7489941354993254,75.7,74.66
18,0.7071392348815553,0.7390847188412981,75.96,75.69
19,0.6909985684470068,0.7610234060469375,76.71,73.62
20,0.6612815802918407,0.7100612088347651,77.61,76.62
21,0.6540413727607736,0.7347279915205465,77.83,76.02
22,0.6352114500278877,0.7304710951585536,78.7,74.99
23,0.633000753679858,0.8046910586084267,78.74,73.08
24,0.6125236818281746,0.7614027434701166,79.44,74.82
25,0.5914416478001234,0.7800838727879589,80.07,75.86
26,0.5839605397721755,0.7429742839583259,80.4,75.97
27,0.5650240250882821,0.7687872985240873,80.88,75.8
28,0.5591651213951483,0.7450032451984343,81.24,75.97
