epoch,train_loss,val_loss,train_acc,val_acc
1,2.645512090247579,2.1520834022996116,12.84,25.42
2,2.0041088078767646,1.613180214402366,28.57,43.29
3,1.5995349815098978,1.4111328987078477,42.35,49.44
4,1.363553189307388,1.1369960806464072,50.86,58.69
5,1.199629635548108,1.0327187877590374,56.74,62.08
6,1.0963479623157906,0.9363135321665619,61.15,65.89
7,1.0083683083319426,1.0062794981703247,64.51,64.12
8,0.9529588967065468,0.8719239962303033,66.55,69.84
9,0.8888252412338095,0.9019999584909213,68.73,67.66
10,0.8287450084894165,0.8232626888038075,71.08,71.26
11,0.8055745594219262,0.8223522908270022,72.03,72.46
12,0.7679618140837657,0.8541837789244571,74.11,69.7
13,0.7336475149703827,0.7852403430615441,74.98,73.87
14,0.7014103568470048,0.8191704750061035,75.74,72.1
15,0.6687448987573196,0.7687845930541303,77.07,74.01
16,0.6511455303497325,0.8222508592120672,77.9,72.18
17,0.6373465962204975,0.7251627027651685,78.24,74.72
18,0.6125083843072977,0.7714053035455909,78.92,73.31
19,0.5851983710505404,0.7518926394187798,80.18,74.22
20,0.571690625758955,0.7473712075228072,80.57,74.22
21,0.548300928124651,0.7511071404494808,81.23,74.93
22,0.549198281375199,0.7595079066389698,81.53,75.64
23,0.5212284111810604,0.752989657181131,82.3,75.49
24,0.5145048304575701,0.7577849592866197,82.7,74.79
25,0.49449534674972756,0.7361271516077936,83.1,75.35
