epoch,train_loss,val_loss,train_acc,val_acc
1,1.942075664361941,1.2118827570856145,20.88,38.11
2,1.301764842954142,1.0047864487740845,35.79,46.9
3,1.1171604418350631,0.8748515825004353,41.43,49.5
4,1.0190646713972846,0.8270238374186828,45.31,50.91
5,0.9517065544830199,0.7640024419731095,48.14,54.57
6,0.8903746882330861,0.7483015096820561,50.16,56.52
7,0.8443866137352525,0.7354576698095046,52.02,56.11
8,0.8079705043754862,0.6852072291317942,53.58,60.18
9,0.7764019023258235,0.6681103255193142,54.73,59.29
10,0.7534057856932469,0.6880776570258239,55.24,58.29
11,0.726150937464132,0.6468687776619002,56.74,59.76
12,0.6981903749209226,0.6565211165619459,57.71,59.94
13,0.6811617967648035,0.6382188832162052,58.61,60.65
14,0.653566066414506,0.6194815618098661,59.58,60.88
15,0.6455138199759548,0.6208678940404482,59.72,60.77
16,0.6317321883771464,0.6407590984243208,60.07,62.06
17,0.6234294087323999,0.6151737905533264,60.57,61.71
18,0.6143113218218688,0.593963976173626,61.36,62.48
19,0.6035978363850186,0.57877243602522,61.59,63.36
20,0.5876051293814856,0.6101883616770967,62.08,62.48
21,0.5707517069802,0.5913563884113391,62.74,62.77
22,0.5674505666273254,0.5816765291500936,62.55,63.24
23,0.5546635301077859,0.5725173303511291,63.59,63.36
24,0.5503211965722491,0.5982088121692691,63.65,63.78
25,0.540178644143159,0.5878045696424523,64.07,64.13
26,0.5336903797825032,0.5771178243082885,64.15,63.95
27,0.5217027766150791,0.6331756116366316,64.83,62.83
28,0.517123627600861,0.5810010410339783,65.07,62.71
29,0.5082477500954475,0.5771997430683238,64.75,65.31
30,0.5082652571605571,0.5997504662975097,64.82,64.66
31,0.5036714539122138,0.5907626838107376,65.38,63.95
32,0.4921839790378001,0.6305013735034121,65.73,62.77
33,0.49190119426626366,0.6013215369882837,65.62,64.19
34,0.4766486432567712,0.614589112241008,66.54,64.01
35,0.4492733102183017,0.5926745034600429,67.7,65.43
36,0.43232282722232945,0.5913452062986594,68.7,64.78
37,0.4336135379884348,0.5947951187426361,68.38,64.78
38,0.43050605286266486,0.5872271349296457,68.74,65.6
