epoch,train_loss,val_loss,train_acc,val_acc
1,2.349650879460443,1.856075825664283,20.88,35.24
2,1.835643453690388,1.6307904949295993,36.33,44.35
3,1.630342463892828,1.466635192181431,43.84,49.15
4,1.5010708668618744,1.3654377824169095,48.04,52.68
5,1.4196162304635775,1.3623103341140317,50.94,53.81
6,1.372533704697653,1.3070549830205023,53.05,54.45
7,1.3229410180745345,1.2798381956283655,54.94,56.07
8,1.2806065063788297,1.2336469962772003,56.2,57.91
9,1.255051645181947,1.2251219237591586,57.11,58.47
10,1.214561318947097,1.2051820162325928,58.15,58.69
11,1.1967132166569228,1.2155166238041248,59.5,58.9
12,1.162763833278028,1.189827116195765,60.6,59.39
13,1.1353571816160373,1.1767427530665855,61.26,59.53
14,1.1057400322422277,1.1706068663947327,62.13,59.89
15,1.098366132227041,1.1877045442829024,62.89,60.1
16,1.0734140614620422,1.1609762859883281,63.24,60.31
17,1.0589653830839993,1.2170162631966974,63.83,59.18
18,1.0396786060806626,1.136393277658581,64.41,61.37
19,1.0260091669334337,1.1541714371934448,65.09,61.3
20,1.012907835242246,1.134454721784861,65.26,61.65
21,0.9930695553668764,1.1519310353165966,65.83,62.5
22,0.9961615588705418,1.154685634677693,65.9,61.16
23,0.9681734117988235,1.1637997681138206,66.86,60.38
24,0.959859625479211,1.17565344147763,67.08,61.94
25,0.9340715134114965,1.134104602080954,68.02,63.49
26,0.9383140506525016,1.1925759881229725,67.66,61.51
27,0.921085382056294,1.164868109643796,68.47,62.85
28,0.9014790241423877,1.1588417823705297,69.09,62.5
29,0.8948528609322001,1.1710436438436562,69.24,63.21
30,0.8810975146784332,1.1957623083039193,69.62,62.71
31,0.8766404566406915,1.1454609100428004,70.06,62.15
32,0.8552347420202906,1.1802265684483415,70.38,61.51
33,0.8597176757620841,1.1457365515541895,70.26,62.99
