epoch,train_loss,val_loss,train_acc,val_acc
1,1.6604012301544246,1.1317811249280045,31.59,45.66
2,1.2856670679553508,0.9352793726949213,44.78,53.1
3,1.1050281530084343,0.768893315130982,51.98,57.99
4,1.0413737004272614,0.7267074254058455,54.64,58.64
5,0.9799863906888808,0.6501745662506351,58.01,62.24
6,0.8644749882821413,0.6923864145546185,62.85,61.59
7,0.8007516733749067,0.674507039169998,66.33,62.54
8,0.7385542232508846,0.6513591405213055,69.14,63.83
9,0.7540780784794678,0.6795325970931039,69.91,63.19
10,0.7491950147265595,0.6457132078553371,70.88,64.78
11,0.8398287660148024,0.6568226120816572,64.7,61.0
12,0.7905849979761533,0.7148351269837326,66.79,60.41
13,0.7815659048810802,0.7078545761319388,68.17,62.12
14,0.7671811105267772,0.7408415554547381,69.46,59.59
15,0.7326846169071141,0.7039900672119276,71.9,63.19
16,0.678848326545341,0.714911496111777,74.79,63.07
17,0.7230194316891265,0.7498253139071057,74.56,62.77
18,0.6845153282344801,0.7593841689174505,76.45,63.07
19,0.6236177082119948,0.7656845135674716,79.17,63.19
20,0.5596030129164266,0.7923414107620892,82.06,62.18
21,0.567155864743973,0.7700095738984842,82.59,63.83
22,0.6040816395355697,0.8094025878076356,81.71,62.3
23,0.5118188458984819,0.7876699054135685,85.13,64.25
24,0.5326178341233515,0.8324964530348427,84.58,62.36
25,0.574305031654438,0.8065140634159774,83.63,63.6
26,0.5214846367848961,0.808402645904406,85.33,64.19
27,0.49149959133380977,0.8134537440837308,86.29,64.66
28,0.5105702667167974,0.8074459601644218,85.89,64.31
29,0.5039250535235978,0.8231697426433057,85.91,63.83
30,0.5053522566361439,0.8133925163992035,86.04,64.66
