epoch,train_loss,val_loss,train_acc,val_acc
1,2.6536449186375313,2.1257541462526484,12.98,25.64
2,1.9595349456121298,1.6078267070533192,30.08,40.82
3,1.6135275965201794,1.398417025636145,41.44,49.58
4,1.4064922922133245,1.2330214505815236,49.32,56.36
5,1.2517333786450766,1.1588835204388461,54.69,58.9
6,1.138089519214024,1.0963743393030543,59.87,60.03
7,1.0539461446826184,0.9738395604710121,62.82,64.83
8,0.9779598159101419,0.936799000885527,65.61,66.6
9,0.9174129369581536,0.9669412462051306,67.52,66.24
10,0.8745993680929437,0.9162732571531824,69.4,68.64
11,0.8360082641934179,0.8437341700839458,70.98,70.62
12,0.7978982932452826,0.8734569603440452,72.28,69.99
13,0.751848474564496,0.8394612080633304,73.74,71.68
14,0.7285307900601721,0.8881179437798968,74.74,70.06
15,0.7140192526364161,0.8661253735170527,75.31,70.2
16,0.6771873869464284,0.8577808633362506,76.59,70.62
17,0.6593510870351742,0.87410395293586,77.16,70.34
18,0.6351312458280575,0.8244570365733346,78.22,72.18
19,0.6126391674907071,0.8506683656724833,78.89,71.61
20,0.6000390564568866,0.8530197157024664,79.39,71.33
21,0.579005175022295,0.83913770772643,79.72,72.67
22,0.5705411257507077,0.8371569800511592,80.3,72.67
23,0.548449711477688,0.802623430887858,81.37,73.16
24,0.5368370213564186,0.8275623321533203,81.67,73.59
25,0.5216359902052601,0.8491346135651324,82.42,73.59
26,0.5107157415705597,0.8592755983104814,82.68,73.87
27,0.4984777037064451,0.8664187778860836,83.1,72.74
28,0.47937897445936833,0.8535678063408804,83.79,72.81
29,0.4851471558145563,0.8333245751547949,83.52,73.38
30,0.46375897670203614,0.9849045236231917,84.34,71.89
31,0.4617051321143567,0.8682194766351732,84.65,73.73
