epoch,train_loss,val_loss,train_acc,val_acc
1,1.6639911363136604,1.0763186541982106,31.38,45.07
2,1.270380895076592,0.8288582392850105,45.41,55.75
3,1.1286390756201181,0.7544230881342142,51.14,57.4
4,0.9970517682733752,0.7140698315119673,56.39,57.94
5,0.9580160660815459,0.6614703389747305,59.06,61.53
6,0.8623043822796038,0.623690956672736,63.43,64.42
7,0.8218082870860847,0.6387633770616357,65.97,64.84
8,0.7663022849898616,0.6452262905495005,69.59,65.13
9,0.7943104453839881,0.6562225359731015,69.58,63.54
10,0.7081874057072155,0.6354614275394991,72.8,65.01
11,0.8683485279177908,0.6967679028314123,64.1,62.54
12,0.8102380071861702,0.6853823405099829,66.87,62.3
13,0.8042615400936951,0.6651660841826492,68.07,61.89
14,0.7397766831340493,0.7219502727190653,71.12,61.77
15,0.7099975317901238,0.7057748858555931,73.32,62.89
16,0.6663326012875702,0.7436740775375591,75.83,62.01
17,0.6750475984579665,0.7497583004577322,76.65,62.36
18,0.6220897938775901,0.7903202010818638,79.21,61.95
19,0.6150973228633381,0.7799490315372614,80.32,62.18
20,0.5621874792990483,0.7929718964922745,82.53,62.77
21,0.589210341536267,0.7923907681200708,82.44,64.31
