epoch,train_loss,val_loss,train_acc,val_acc
1,2.359045727799493,1.7397697873523454,21.02,37.29
2,1.7991951510794382,1.5042444091982545,36.39,47.2
3,1.6090261659605312,1.370437865622979,42.69,49.79
4,1.5139598984500675,1.2912043126986794,45.86,52.51
5,1.4340408169254066,1.2303390822227727,49.15,55.46
6,1.3642763371171565,1.187678855780655,52.24,55.81
7,1.313463701597733,1.164158671056978,53.46,58.88
8,1.2692816113684087,1.1332110246022542,55.3,58.88
9,1.2265309742148478,1.090643093578935,56.67,60.65
10,1.201093759424,1.0894615920595714,57.51,60.06
11,1.163297024594952,1.057956980850141,59.25,61.36
12,1.129580826935085,1.0775996514126263,60.14,61.18
13,1.1160282469501175,1.0345394428500736,60.87,62.06
14,1.0839210998124216,1.0002812226261713,61.64,63.07
15,1.068276902022261,1.0454108919717569,62.21,62.01
16,1.042822683847784,1.0500882501799096,63.2,61.36
17,1.030126561179808,0.9978126486494127,63.81,62.95
18,1.012988384506437,1.0185190676939522,64.52,63.66
19,0.9938842796739759,1.0468966972863076,65.07,62.95
20,0.9865014667772647,0.9859979525779904,65.32,64.72
21,0.9667095827203226,0.9722705316402919,65.92,64.54
22,0.9560582952955186,0.9959245462684856,66.33,65.55
23,0.9345643714942647,0.9861381117221528,67.08,64.01
24,0.9274466794395374,0.99482543148474,67.49,64.54
25,0.9232527906274597,1.0298047302043543,67.39,63.13
26,0.9131004823144973,1.0065284071770388,68.13,64.96
27,0.9015789597356104,1.002374527798993,68.2,64.07
28,0.8864415762231238,0.9789180768274628,68.49,65.9
29,0.8659718067550466,0.9908258962068586,69.27,65.07
30,0.8388747517808467,0.9769442609629448,70.49,65.31
31,0.8205750318570751,0.977884268936506,71.24,65.55
32,0.8092034191952024,0.9949232499859678,71.5,65.25
33,0.8162755858944888,1.0214913871084343,71.18,64.6
34,0.8059609720688551,1.005142745331677,71.86,65.07
35,0.7934343135677949,1.023559189827393,71.89,64.84
36,0.7830470721720745,0.9793024791728782,72.3,65.37
