epoch,train_loss,val_loss,train_acc,val_acc
1,2.207058266730082,1.9631844321213199,27.43,31.92
2,1.659880488452282,1.4844377162092823,42.99,50.28
3,1.454662079815427,1.4143272604645982,50.17,50.85
4,1.300689464874279,1.4117878897715423,54.69,50.07
5,1.2002755095660596,1.2233010847016244,58.06,57.84
6,1.1079908595675596,1.3543276652104437,61.26,54.1
7,1.0306118870012477,1.1664161924588479,63.63,60.03
8,0.9598085397018146,1.6305704170701194,65.93,48.23
9,0.9166460030554571,1.0889262048538122,67.42,61.09
10,0.8529275331827788,1.2901894844184487,70.26,54.59
11,0.8214366542473729,1.2230554246633065,71.24,59.18
12,0.7840331126046188,1.1657551372118589,72.58,59.75
13,0.7363031153927202,1.2598757447495972,74.09,58.76
14,0.7098591592937681,1.1796288247835838,75.1,61.58
15,0.6901095310846964,1.2738496058404782,75.73,56.71
16,0.651092191780837,1.321133979969779,76.99,58.69
17,0.6336536033926607,1.4148736538860085,77.8,55.58
