epoch,train_loss,val_loss,train_acc,val_acc
1,2.6997300919497027,2.1896590462888774,12.3,25.03
2,2.003877953092067,2.001687922797645,29.08,32.37
3,1.5455569880421631,1.5603227521410892,43.4,43.98
4,1.334529261990592,1.4980754736767283,52.01,48.24
5,1.197827923730818,1.474959564158203,57.85,48.78
6,1.1120380015209677,1.4136767421667569,61.18,53.35
7,1.0358894575904278,1.5969149543327519,64.1,49.09
8,0.969691007554031,1.3762138464961189,66.75,56.23
9,0.9109486460850297,1.2836696489677388,68.82,56.02
10,0.8755364131051491,1.3671019776814535,70.12,54.63
11,0.8303073074858925,1.3412205062100429,71.64,56.55
12,0.8214797008451514,1.2686115552823003,72.67,57.29
13,0.7716152064294158,1.31936641331044,74.25,57.4
14,0.7487335632950483,1.2183250207870533,74.89,61.66
15,0.7513937985326146,1.3067569073142842,74.91,60.49
16,0.6956621283012375,1.2947640085118775,76.92,60.7
17,0.6818747920785928,1.3290685413998409,76.99,59.32
18,0.6708408769457864,1.3392666742697565,77.71,61.02
19,0.6528851185253095,1.1857851169868525,78.25,62.51
20,0.6253091116784244,1.4600784779864506,79.22,57.29
21,0.6197948895075955,1.2394064234468503,79.11,61.34
22,0.600052929315722,1.2977112195235345,80.12,61.24
23,0.5871240663163865,1.3451294897082515,80.37,61.24
24,0.5708515759206595,1.3079239644181615,81.04,63.26
25,0.5858352159927184,1.2140476799493654,80.73,64.64
26,0.5473052802341081,1.313131351059618,81.99,62.73
27,0.539135457610608,1.3197345887891019,82.08,62.19
