epoch,train_loss,val_loss,train_acc,val_acc
1,2.6939324605044077,2.1796139388282088,12.37,24.57
2,2.0314143030112093,1.7670401027397873,27.82,36.5
3,1.7709460307541207,1.634105841600015,34.89,39.53
4,1.6169413967465125,1.4817727678827377,41.17,48.23
5,1.5098164834990655,1.417699523232463,44.27,49.14
6,1.4487188351936662,1.3251722626787346,47.18,53.49
7,1.3774526821268258,1.2750754218974176,49.82,54.8
8,1.3267385786633639,1.2452171164648598,51.62,55.41
9,1.2712014769227158,1.2324186052422672,53.16,57.63
10,1.212239680286091,1.2105605802352797,55.53,58.34
11,1.193382052701868,1.2186726893404738,57.08,57.03
12,1.167259706571966,1.1536245776379916,57.94,59.76
13,1.1374252799116535,1.1312844856925632,58.61,59.66
14,1.0961071181302466,1.1453686545182047,60.41,59.45
15,1.0883423691707848,1.1139729295389236,61.0,60.77
16,1.0441937157414243,1.1017760179402012,62.15,61.07
17,1.0408653810165236,1.1061994131462398,62.35,61.27
18,1.0187800353498255,1.1218014290166456,63.29,61.17
19,0.9949790052658091,1.1077559369157612,64.25,61.48
20,0.9800032494206022,1.0892798312392586,64.77,62.89
21,0.9549938310579172,1.1036593302918638,65.37,64.0
22,0.9350910305279737,1.0912953667018725,66.15,61.07
23,0.9264163255743167,1.0910013231879176,66.4,63.3
24,0.9037461763520971,1.1272680957107621,67.2,62.79
25,0.9005896663779378,1.0842180313548135,67.57,63.3
26,0.8865848369275127,1.1253931380137876,68.29,63.6
27,0.8713422954947447,1.1217900768931883,69.37,62.29
28,0.864943245982153,1.1140001398728758,69.0,63.6
29,0.8429131953004172,1.119565716406935,69.81,64.11
30,0.8350665628948795,1.1530170322549356,70.32,62.89
31,0.8260256061054086,1.1094873297443524,70.46,65.02
32,0.7958462820802903,1.1396997306416803,71.02,63.6
33,0.8087282550007021,1.1604104629059533,70.77,62.69
34,0.7362240008624157,1.113973933114803,73.44,65.52
35,0.7280632743258122,1.1590643909028133,73.84,63.9
36,0.7333514198018587,1.1498955161554627,74.05,64.41
37,0.7308152909270608,1.1515392555626387,73.93,63.5
38,0.7160205349716656,1.1513519207556158,74.47,63.5
39,0.7147599928741051,1.1394416007040966,74.5,64.41
40,0.7077974143393866,1.1248388367547786,74.52,64.0
