epoch,train_loss,val_loss,train_acc,val_acc
1,2.8550006799246446,2.5704986569218744,9.05,16.93
2,2.4774580834853728,2.3248614668211363,20.58,24.07
3,2.2759454232116485,2.1679233784873646,27.99,29.82
4,2.151020702676038,2.10736766257606,32.72,32.48
5,2.0524094721436423,2.0978369499547793,36.35,34.4
6,1.986232489518263,1.975453856781014,39.1,37.59
7,1.9113547789825296,1.9185571985376784,41.72,38.98
8,1.854460850892566,1.8769212123304129,43.51,39.51
9,1.8009013911008176,1.8246870085327263,45.25,41.53
10,1.7572461967887303,1.809153107281564,46.49,43.77
11,1.7186512666962197,1.7990331986206916,48.12,45.26
12,1.6833283977634055,1.7365559815598752,49.08,46.22
13,1.66390281099596,1.7749126769991093,49.78,45.47
14,1.627170031375881,1.82156414333116,50.86,43.45
15,1.6069807871160828,1.7687082973658974,51.59,46.01
16,1.5782665056778453,1.7907744100172553,52.35,44.2
17,1.5667434810858274,1.773825447018535,52.43,45.15
18,1.5379173138470084,1.7798172024746164,53.5,45.47
19,1.5236910833621122,1.750573122082427,53.55,47.71
20,1.5039077169751949,1.7498798716944246,54.12,46.54
