epoch,train_loss,val_loss,train_acc,val_acc
1,2.7042665495282043,2.182033387954626,12.41,25.71
2,2.0373018848654216,1.6592305501302083,28.26,41.31
3,1.612627051831591,1.3876808295815677,40.82,49.22
4,1.3882424256457295,1.222858924650203,49.86,55.93
5,1.2373297183108698,1.0955803219207936,55.42,61.16
6,1.1180188343664246,1.031255452646374,60.81,63.63
7,1.030491420239562,1.028510228388727,64.01,64.76
8,0.960720444822759,0.9309618028543764,66.64,66.81
9,0.9032388371371732,0.9302896079370531,68.43,67.94
10,0.8514375175954788,0.8262237586544059,70.52,71.4
11,0.819342337916412,0.8817278544108073,71.69,69.42
12,0.7728656485085772,0.8680144945780436,73.31,70.62
13,0.7428564623092977,0.8037756311017915,74.43,73.02
14,0.7097259512317206,0.8734800748232394,75.97,71.82
15,0.6883533583187602,0.7797981736350195,76.32,72.88
16,0.6649061513964855,0.8302414861776061,76.94,72.25
17,0.641615497102313,0.8122358295203602,78.05,72.95
18,0.6166506007588923,0.8086201026614777,78.93,74.72
19,0.5955289672657537,0.753100287442827,79.45,73.59
20,0.5759136397622767,0.7840480400344073,80.46,75.0
21,0.5563761048918957,0.8055917502796582,80.95,73.45
22,0.5558099149935829,0.8226089719998635,80.96,73.8
23,0.5330689975322466,0.7983672740095753,81.44,74.29
24,0.5101922162817782,0.7953663289883716,82.62,75.14
25,0.5034390010149451,0.7851776564862095,83.02,75.49
26,0.48629445760603063,0.8704864130181781,83.58,75.35
27,0.4856575289134939,0.8930118447643215,83.24,73.59
