epoch,train_loss,val_loss,train_acc,val_acc
1,2.9185564987592674,2.7985610370501193,7.57,10.6
2,2.6016837618190354,2.4425605256650136,16.34,24.59
3,2.3887418134387564,2.2615881395845445,23.57,26.86
4,2.2763130126262956,2.1746550969437237,27.26,31.52
5,2.1645608697309355,2.095964174051588,31.12,33.71
6,2.081461220379583,2.0086890771616472,34.44,37.17
7,2.0087724095488206,1.9545531793533704,37.09,39.58
8,1.9535854999446942,1.9082786099228337,39.1,41.84
9,1.9017735258545685,1.880903544779801,40.69,42.76
10,1.8481930613247035,1.8338841307710843,42.97,43.32
11,1.8118962344755105,1.8291225255588761,43.83,44.24
12,1.7822827491319875,1.8019655045687941,45.04,45.44
13,1.7574087005415981,1.7948987117504485,45.64,45.44
14,1.719611271035933,1.7883082739455962,47.16,46.93
15,1.6930812816381635,1.7459597959956517,47.78,46.64
16,1.6606571250030437,1.74469227083159,48.72,46.71
17,1.6390853642514942,1.738409822736949,49.37,48.76
18,1.6251707315805912,1.7384209407934452,49.64,47.07
19,1.6070106795482073,1.7248811159875284,50.61,47.49
20,1.5887697217863315,1.713197159767151,51.29,48.41
21,1.5540539471693422,1.749585883271989,51.9,47.56
22,1.5469798336779863,1.7391908788849524,51.73,47.99
23,1.520763422033265,1.7025212638369718,52.78,48.13
24,1.510024365162326,1.7653831397686746,53.01,46.78
25,1.4918620133381915,1.7564622696212662,53.75,47.14
26,1.4691980133626967,1.7477659512745618,54.25,48.76
27,1.4587586375640071,1.7429860794080863,54.5,47.84
28,1.4414848877028206,1.7601431474247586,54.74,47.63
29,1.4268351072799428,1.7165855267865076,55.49,47.99
30,1.4104236992988326,1.766595787715575,55.67,48.27
31,1.4041550178585587,1.7412961712995603,56.01,47.84
