epoch,train_loss,val_loss,train_acc,val_acc
1,2.3664838847973817,1.731641077969343,20.39,37.62
2,1.6588157548911096,1.3575806267961057,39.28,51.61
3,1.4275990818306523,1.1966911912548457,48.8,56.34
4,1.27240427866406,1.0886048816375649,54.96,61.57
5,1.1731172644289494,1.06981483372775,58.44,62.0
6,1.092441411081516,0.9586653563401332,61.48,65.0
7,1.0362530074811096,0.9457760323761726,63.86,66.14
8,0.9856496938203183,0.9559450767970825,65.13,66.74
9,0.9337760577846083,0.8684795708778311,67.24,68.37
10,0.8969519240980512,0.8665463892610162,68.84,69.13
11,0.8664502605522907,0.9125521014939849,69.66,66.63
12,0.8384864576193071,0.842581106322449,70.74,70.6
13,0.812522503976685,0.8316648811118137,71.79,70.88
14,0.7915997523894848,0.8365513192744247,72.55,71.04
15,0.7618627071018995,0.8274998473420244,73.43,70.6
16,0.7480453656763169,0.8105499012417032,73.8,73.05
17,0.7365271393385725,0.8211123564351039,74.44,71.31
18,0.7156983992138539,0.8167983422671314,75.32,71.53
19,0.7002036216489604,0.8595197056711661,75.77,70.93
20,0.6811530395478216,0.8600564860233355,76.31,70.6
21,0.6690902524978607,0.852426593953913,76.58,71.75
22,0.6586797524257937,0.8343065724012056,76.97,72.02
23,0.6471908325500019,0.8431909096649826,77.57,71.8
24,0.6377116326912464,0.8448752501637765,77.95,72.46
